SITE,MACHINE,STEM_NO,GPS_LAT,GPS_LONG,LOG_NO,PRODUCT_DE,SEDOB,LENGTH,VOLOB,RPT_LENGTH,RPT_DIAM,CUT_CODE
HP2013-0147,607,2038,-35.0603,148.5154,1,Small,223,492,0.23,4.9,1,0
HP2013-0147,607,2038,-35.0603,148.5154,2,VISY,161,542,0.16,RANDOM,1,0
HP2013-0147,607,2038,-35.0603,148.5154,3,VISY,102,528,0.07,RANDOM,1,0
HP2013-0147,607,2039,-35.06028,148.51541,1,Small,250,492,0.29,4.9,1,0
HP2013-0147,607,2039,-35.06028,148.51541,2,Small,202,492,0.19,4.9,1,0
HP2013-0147,607,2039,-35.06028,148.51541,3,VISY,130,543,0.11,RANDOM,1,0
HP2013-0147,607,2040,-35.06027,148.51543,1,Small,236,492,0.28,4.9,1,0
HP2013-0147,607,2040,-35.06027,148.51543,2,Small,199,492,0.19,4.9,1,0
HP2013-0147,607,2040,-35.06027,148.51543,3,VISY,160,522,0.13,RANDOM,1,0
HP2013-0147,607,2040,-35.06027,148.51543,4,VISY,108,475,0.06,RANDOM,1,0
HP2013-0147,607,2041,-35.06025,148.51542,1,Small,233,492,0.28,4.9,1,0
HP2013-0147,607,2041,-35.06025,148.51542,2,Small,207,492,0.19,4.9,1,0
HP2013-0147,607,2041,-35.06025,148.51542,3,VISY,146,542,0.14,RANDOM,1,0
HP2013-0147,607,2041,-35.06025,148.51542,4,VISY,97,430,0.05,RANDOM,1,0
HP2013-0147,607,2042,-35.06024,148.51542,1,VISY,130,522,0.1,RANDOM,1,0
HP2013-0147,607,2042,-35.06024,148.51542,2,VISY,92,542,0.05,RANDOM,1,0
HP2013-0147,607,2043,-35.06025,148.51541,1,Small,215,492,0.26,4.9,1,0
HP2013-0147,607,2043,-35.06025,148.51541,2,Small,186,491,0.16,4.9,1,0
HP2013-0147,607,2043,-35.06025,148.51541,3,VISY,122,541,0.1,RANDOM,1,0
HP2013-0147,607,2043,-35.06025,148.51541,4,,98,108,0.01,,,0
HP2013-0147,607,2044,-35.06028,148.51544,1,VISY,157,521,0.14,RANDOM,1,0
HP2013-0147,607,2044,-35.06028,148.51544,2,VISY,114,534,0.08,RANDOM,1,0
HP2013-0147,607,2045,-35.06031,148.51547,1,Small,242,491,0.29,4.9,1,0
HP2013-0147,607,2045,-35.06031,148.51547,2,Small,209,492,0.2,4.9,1,0
HP2013-0147,607,2045,-35.06031,148.51547,3,VISY,152,542,0.14,RANDOM,1,0
HP2013-0147,607,2045,-35.06031,148.51547,4,,125,306,0.04,,,0
HP2013-0147,607,2046,-35.0604,148.51564,1,CHH,327,372,0.38,3.7,4,0
HP2013-0147,607,2046,-35.0604,148.51564,2,,327,131,0.11,,,0
HP2013-0147,607,2046,-35.0604,148.51564,3,,327,28,0.02,,,0
HP2013-0147,607,2046,-35.0604,148.51564,4,VISY,95,553,0.14,RANDOM,1,0
HP2013-0147,607,2047,-35.06042,148.51567,1,VISY,149,521,0.12,RANDOM,1,0
HP2013-0147,607,2047,-35.06042,148.51567,2,VISY,122,542,0.08,RANDOM,1,0
HP2013-0147,607,2047,-35.06042,148.51567,3,,72,570,0.04,,,0
